id,name,country,countryCode,headquartersCity,usState,foundedYear,companyType,website,linkedin,segments,fundingStage,employeeRange,description,notableAchievements,activeProducts
nasa,NASA,United States,US,"Washington, D.C.",DC,1958,government_agency,https://www.nasa.gov,https://www.linkedin.com/company/nasa,government_agency,,"18,000+","The National Aeronautics and Space Administration is the United States government agency responsible for aeronautics and space exploration. NASA leads groundbreaking missions including the Artemis lunar program, Mars exploration, and the James Webb Space Telescope.",Apollo Moon landings; Space Shuttle program; International Space Station; Mars rovers; Artemis program,Artemis; SLS; Orion; Commercial Crew Program
spacex,SpaceX,United States,US,"Hawthorne, CA",CA,2002,commercial_private,https://www.spacex.com,https://www.linkedin.com/company/spacex,launch_provider; satellite_operator; lander; transportation_logistics,Late Stage,"13,000+","Space Exploration Technologies Corp. is the world's leading commercial launch provider, revolutionizing space access through reusable rocket technology. SpaceX operates Starlink, the largest satellite constellation, and is developing Starship for interplanetary travel.",First private company to ISS; Reusable orbital rockets; Crew Dragon certification; Starlink global coverage,Falcon 9; Falcon Heavy; Starship; Dragon; Starlink
blue-origin,Blue Origin,United States,US,"Kent, WA",WA,2000,commercial_private,https://www.blueorigin.com,https://www.linkedin.com/company/blue-origin,launch_provider; suborbital; lander; propulsion_systems,Private,"11,000+",Blue Origin is developing reusable launch vehicles and space systems with the vision of enabling a future where millions of people live and work in space. The company operates New Shepard suborbital flights and is developing the New Glenn orbital rocket.,New Shepard reusability; BE-4 engine development; Blue Moon lunar lander selection,New Shepard; New Glenn; BE-4 Engine; Blue Moon
ula,United Launch Alliance,United States,US,"Centennial, CO",CO,2006,joint_venture,https://www.ulalaunch.com,https://www.linkedin.com/company/united-launch-alliance,launch_provider,,"3,000+","United Launch Alliance is a joint venture between Boeing and Lockheed Martin, providing reliable launch services for U.S. government and commercial customers. ULA maintains a 100% mission success rate with Atlas V and is transitioning to Vulcan Centaur.",100% mission success rate; 150+ successful launches; Vulcan Centaur first flight 2024,Vulcan Centaur; Atlas V
rocketlab,Rocket Lab,United States,US,"Long Beach, CA",CA,2006,publicly_traded,https://www.rocketlabusa.com,https://www.linkedin.com/company/rocket-lab,launch_provider; satellite_manufacturer; in_space_services,Public (RKLB),"1,800+","Rocket Lab is an end-to-end space company delivering reliable launch services, satellite manufacturing, spacecraft components, and on-orbit management. Operating from sites in New Zealand and Virginia, they've launched over 180 satellites.",First private orbital launch from Southern Hemisphere; Electron rocket reusability; Neutron development,Electron; Neutron; Photon spacecraft; Pioneer spacecraft bus
firefly,Firefly Aerospace,United States,US,"Cedar Park, TX",TX,2014,commercial_private,https://fireflyspace.com,https://www.linkedin.com/company/firefly-space-systems,launch_provider; lander,Series D,700+,"Firefly Aerospace provides launch vehicles for small-to-medium payloads and developed the Blue Ghost lunar lander. Blue Ghost Mission 1 successfully landed on the Moon in January 2025, making Firefly one of the first commercial companies to achieve a lunar landing. Awarded $177M NASA follow-on CLPS contract. Medium Launch Vehicle (MLV) in development for 2026 debut.",Blue Ghost lunar landing (Jan 2025); Alpha orbital success; NASA CLPS contract; $177M NASA follow-on; Blue Ghost 2 mission confirmed Q2 2026,Alpha; MLV (in development); Blue Ghost lander
relativity,Relativity Space,United States,US,"Long Beach, CA",CA,2015,commercial_private,https://www.relativityspace.com,https://www.linkedin.com/company/relativity-space,launch_provider; manufacturing_materials,Series E,"1,000+","Relativity Space is pioneering 3D-printed rockets, using the world's largest metal 3D printers to manufacture launch vehicles. Their Terran R rocket aims to provide medium-lift capabilities with rapid manufacturing turnaround.",World's first 3D-printed rocket to reach space; Stargate 3D printer technology,Terran R
abl-space,ABL Space Systems,United States,US,"El Segundo, CA",CA,2017,commercial_private,https://ablspacesystems.com,https://www.linkedin.com/company/abl-space-systems,launch_provider,Series B,300+,"ABL Space Systems is developing low-cost, rapidly deployable launch services with their RS1 rocket. The company focuses on streamlined operations from containerized ground systems.",Amazon Project Kuiper contract,RS1
astra,Astra Space,United States,US,"Alameda, CA",CA,2016,commercial_private,https://astra.com,https://www.linkedin.com/company/astra-space,propulsion_systems,Private (founder-owned),100-200,"Astra went private in July 2024 after founders acquired all shares at $0.50/share. The company halted rocket launches and pivoted to spacecraft propulsion systems (electric engines). Now profitable with ~125 employees, focused on satellite engines and a new launch vehicle in development.",Went private (July 2024); Pivoted to propulsion systems; Returned to profitability,Spacecraft engines; Next-gen launch vehicle (development)
virgin-galactic,Virgin Galactic,United States,US,"Las Cruces, NM",NM,2004,publicly_traded,https://www.virgingalactic.com,https://www.linkedin.com/company/virgin-galactic,suborbital,Public (SPCE),500+,"Virgin Galactic paused all commercial spaceflight operations in June 2024 and retired VSS Unity to focus on developing next-generation Delta-class vehicles. Test flights are targeted for Q3 2026, with commercial service resumption expected in 2027.",First commercial spaceflight with passengers; Unity spaceship flights; Delta-class in development,Delta-class spaceships (development)
